,id,local,lon,lat
195,1210874,Albufeira,-8.262,37.0935
106,1210726,Alcobaça,-8.96666667,39.51666667
37,5210758,Alcochete / Campo Tiro,-8.7825,38.7627
136,1210776,"Alcácer do Sal, Barrosinha",-8.48333333,38.36666667
90,1210690,Aldeia Souto (Q. Lageosa),-7.38931111,40.35425833
147,1210789,Aljezur,-8.80001667,37.31675278
119,1210773,"Almada, P.Rainha",-9.212804,38.617111
143,1210783,Alvalade,-8.394504,37.946806
164,1210812,Alvega,-8.05,39.46666667
181,1210851,Amareleja,-7.2261,38.2007
4,6212122,Amares Caldelas (CIM),-8.37977778,41.66796389
96,1210705,Anadia,-8.439996,40.438852
171,1200511,Angra do Heroísmo,-27.216567,38.6659435
101,1210716,Ansião,-8.4,39.9
183,6213611,Arganil / Aeródromo (CIM),-7.974399,40.274578
80,1210669,Arouca,-8.25,40.93333333
94,1210702,Aveiro (Universidade),-8.65958333,40.63529722
168,1210824,"Avis, Benavila",-7.86666667,39.1
127,1210766,"Barreiro, Lavradio",-9.04766111,38.67448611
156,1200562,Beja,-7.867275,38.02493056
6,6212124,Braga (CIM),-8.42514722,41.53568333
60,1210622,"Braga, Merelim",-8.45003056,41.56678056
165,1200575,Bragança,-6.74283889,41.80388889
166,1200576,Bragança (Aeródromo),-6.70796389,41.85763611
63,1210630,Cabeceiras de Basto,-7.96666667,41.53333333
131,1200531,Cabo Carvoeiro,-9.40737778,39.38
126,1210765,Cabo Raso,-9.48538333,38.70900833
118,1210750,Cabo da Roca,-9.4975361,38.78171
59,1210619,Cabril,-8.01666667,41.71666667
184,6213612,Cantanhede / Fonte Dom Pedro (CIM),-8.577613,40.341894
69,1210644,Carrazêda de Ansiães,-7.28333333,41.23333333
132,6213012,Carregal do Sal (CIM),-7.92626389,40.46718056
162,1200570,Castelo Branco,-7.46678889,39.83339444
182,6213013,Castro Daire / Mézio (CIM),-7.88318889,40.98086111
191,1210867,Castro Marim (RN Sapal),-7.45,37.21666667
188,1210864,"Castro Verde, N.Corvo",-7.97211389,37.57655833
58,1210616,Chaves (Aeródromo),-7.46540833,41.72516667
146,1200548,Coimbra (Aeródromo),-8.46669167,40.15006944
185,6213613,Coimbra / Mata de São Pedro (CIM),-8.374887,40.330787
97,1210707,"Coimbra, Bencanta",-8.45515277,40.2134694
114,1210744,Coruche,-8.51073611,38.94096667
113,1200502,Corvo (Aeródromo),-31.11362,39.67389
88,1210687,Covilhã (Aeródromo),-7.482302,40.264309
95,1210704,Dunas de Mira,-8.76168055,40.445955
170,1210835,Elvas,-7.13976111,38.8908
8,6212126,Esposende (CIM),-8.77984444,41.52645556
172,1210837,Estremoz,-7.51666667,38.86666667
82,1210671,"F. Castelo Rodrigo, V.Torpim",-6.88333333,40.75
150,1200554,Faro (Aeródromo),-7.971953,37.016579
99,1210713,"Figueira da Foz, Vila Verde",-8.805945,40.139764
112,1200501,Flores (Aeródromo),-31.1301,39.45819
123,1200522,Funchal,-16.888,32.64786
93,1210698,Fundão,-7.55362778,40.14063611
148,1210790,Fóia,-8.595733,37.3143
85,1210683,Guarda,-7.26666667,40.53333333
186,6213614,Góis / Quinta da Ribeira (CIM),-8.103238,40.171642
49,1200506,Horta (Obs. Principe Alberto),-28.63225,38.540781
53,1210606,"Lamas de Mouro, P.Ribeiro",-8.18333333,42.03333333
102,1210718,Leiria (Aeródromo),-8.818166,39.780553
167,1200579,Lisboa (G.Coutinho),-9.12749444,38.76620278
135,1200535,Lisboa (Geofísico),-9.14972222,38.71907778
47,7240919,"Lisboa, Amoreiras (LFCL)",-9.1649,38.7239
86,1210762,"Lisboa, Tapada da Ajuda",-9.182825,38.70956111
92,1210697,Lousã (Aeródromo),-8.244066,40.143922
76,1210657,Luzim,-8.2490333,41.14585
65,1210633,"Macedo Cavaleiros, Bagueixe",-6.78333333,41.56666667
24,1210973,"Madeira, Areeiro",-16.91666667,32.71666667
22,1210970,"Madeira, Bica da Cana",-17.0576888,32.75646944
36,1210990,"Madeira, Calheta",-17.26321389,32.81384167
28,1210977,"Madeira, Cancela",-16.86575,32.64500556
124,1240971,"Madeira, Funchal, Lido",-16.935592,32.63655
31,1210980,"Madeira, Lombo da Terça",-17.202,32.831
27,1210976,"Madeira, Monte",-16.906944,32.675833
23,1210972,"Madeira, Pico Alto",-16.903955,32.693491
34,1210986,"Madeira, Ponta do Sol",-17.104167,32.681502
16,1210956,"Madeira, Porto Moniz",-17.171373,32.867477
33,1210984,"Madeira, Quinta Grande",-17.01503611,32.6629722
18,1210960,"Madeira, S. Jorge, Santana",-16.906219,32.83446944
29,1210978,"Madeira, S. Lourenço",-16.706,32.747
19,1210965,"Madeira, Santana",-16.8864166,32.808238
26,1210975,"Madeira, Santo da Serra",-16.816822,32.7258972
134,6213014,Mangualde / Chãs de Tavares  (CIM),-7.60838889,40.61096111
100,6214523,Mação/Cardigos (CIM),-8.01596667,39.69363889
38,6213615,Mealhada / Quinta do Vale (CIM),-8.4388429,40.373343
66,1210635,Miranda do Douro,-6.28333333,41.51666667
64,1210632,Mirandela,-7.19083889,41.51478611
